 written on  7Jul2026 at 13:18:25 
         100
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -1    0   26    2   -0.000253   -0.000006
   -3   -1    0   27    2   -0.000091   -0.000011
   -3   -1    0   28    2   -0.000100    0.000013
   -3   -1    0   29    2   -0.000059   -0.000012
   -3   -1    0   30    2   -0.000426   -0.000005
   -3   -1    0   31    2   -0.000312    0.000051
   -3   -1    0   32    2    0.000206    0.000031
   -3   -1    0   33    2    0.000688   -0.000058
   -3   -1    0   34    2   -0.000146   -0.000004
   -3   -1    0   35    2    0.000232    0.000002
   -3   -1    0   36    2    0.000299    0.000007
   -3   -1    0   37    2    0.000166   -0.000028
   -3   -1    0   38    2   -0.000143    0.000013
   -3   -1    0   39    2    0.000017    0.000040
   -3   -1    0   40    2    0.000125    0.000000
   -3   -1    0   41    2   -0.000031   -0.000011
   -3   -1    0   42    2   -0.000119   -0.000003
   -3   -1    0   43    2   -0.000191    0.000020
   -3   -1    0   44    2    0.000603   -0.000019
   -3   -1    0   45    2   -0.000031    0.000000
   -3   -1    0   46    2   -0.000309    0.000002
   -3   -1    0   47    2    0.000062    0.000001
   -3   -1    0   48    2    0.000208   -0.000004
   -3   -1    0   49    2    0.000012   -0.000002
   -3   -1    0   50    2   -0.000012   -0.000001
   -3   -1    0   51    2    0.000080   -0.000003
   -3   -1    0   52    2    0.000064   -0.000003
   -3   -1    0   53    2   -0.000045    0.000001
   -3   -1    0   54    2   -0.000008    0.000001
   -3   -1    0   55    2   -0.000006    0.000001
   -3   -1    0   56    2   -0.000013    0.000001
   -3   -1    0   57    2   -0.000022    0.000001
   -3   -1    0   58    2    0.000007   -0.000001
   -3   -1    0   59    2    0.000254   -0.000026
   -3   -1    0   60    2   -0.000122    0.000008
   -3   -1    0   61    2   -0.000086    0.000011
   -3   -1    0   62    2    0.000023    0.000020
   -3   -1    0   63    2    0.000443   -0.000008
   -3   -1    0   64    2   -0.000253   -0.000015
   -3   -1    0   65    2   -0.000185    0.000008
   -3   -1    0   66    2    0.000003    0.000006
   -3   -1    0   67    2    0.000177    0.000022
   -3   -1    0   68    2    0.000650    0.000047
   -3   -1    0   69    2    0.000188   -0.000013
   -3   -1    0   70    2   -0.000277   -0.000029
   -3   -1    0   71    2   -0.000063   -0.000009
   -3   -1    0   72    2   -0.000141    0.000027
   -3   -1    0   73    2    0.000276   -0.000002
   -3   -1    0   74    2   -0.000054   -0.000011
   -3   -1    0   75    2    0.000160    0.000031
   -3   -1    0   76    2   -0.000334    0.000018
   -3   -1    0   77    2    0.000055    0.000013
   -3   -1    0   78    2   -0.000144   -0.000014
   -3   -1    0   79    2    0.000094   -0.000002
   -3   -1    0   80    2    0.000230   -0.000002
   -3   -1    0   81    2   -0.000315   -0.000018
   -3   -1    0   82    2   -0.000528    0.000024
   -3   -1    0   83    2    0.000552   -0.000062
   -3   -1    0   84    2   -0.000179    0.000010
   -3   -1    0   85    2    0.000200    0.000002
   -3   -1    0   86    2    0.000028    0.000010
   -3   -1    0   87    2    0.000209    0.000011
   -3   -1    0   88    2    0.000003   -0.000003
   -3   -1    0   89    2   -0.000244    0.000003
   -3   -1    0   90    2    0.000225    0.000020
   -3   -1    0   91    2   -0.000177   -0.000014
   -3   -1    0   92    2   -0.000035   -0.000002
   -3   -1    0   93    2    0.000698   -0.000053
   -3   -1    0   94    2   -0.000215   -0.000023
   -3   -1    0   95    2   -0.000308   -0.000004
   -3   -1    0   96    2    0.000181    0.000030
   -3   -1    0   97    2    0.000398   -0.000012
   -3   -1    0   98    2   -0.000161   -0.000012
   -3   -1    0   99    2    0.000202    0.000010
   -3   -1    0  100    2    0.000024   -0.000004
   -3   -1    0    1    3   -0.000011   -0.000015
   -3   -1    0    2    3   -0.000206   -0.000001
   -3   -1    0    3    3    0.000046   -0.000008
   -3   -1    0    4    3   -0.000017   -0.000003
   -3   -1    0    5    3    0.000094    0.000008
   -3   -1    0    6    3   -0.000025   -0.000003
   -3   -1    0    7    3   -0.000113    0.000001
   -3   -1    0    8    3    0.000052   -0.000001
   -3   -1    0    9    3   -0.000062   -0.000007
   -3   -1    0   10    3    0.000117    0.000003
   -3   -1    0   11    3   -0.000296    0.000007
   -3   -1    0   12    3    0.000073    0.000007
   -3   -1    0   13    3   -0.000110   -0.000006
   -3   -1    0   14    3    0.000049    0.000003
   -3   -1    0   15    3   -0.000119   -0.000003
   -3   -1    0   16    3   -0.000159   -0.000022
   -3   -1    0   17    3    0.000057    0.000004
   -3   -1    0   18    3   -0.000235    0.000009
   -3   -1    0   19    3   -0.000047   -0.000005
   -3   -1    0   20    3    0.000128   -0.000001
   -3   -1    0   21    3   -0.000045   -0.000031
   -3   -1    0   22    3    0.000158    0.000009
   -3   -1    0   23    3   -0.000079   -0.000016
